DATE,PRODUCTION_WH
2018-02-10,12156.0
2018-02-11,6473.0
2018-02-12,17366.0
2018-02-13,23551.0
2018-02-14,23881.0
2018-02-15,3284.0
2018-02-16,22958.0
2018-02-17,13372.0
2018-02-18,14047.0
2018-02-19,6704.0
2018-02-20,10462.0
2018-02-21,21178.0
2018-02-22,25754.0
2018-02-23,26024.0
2018-02-24,27611.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,11909.0
2018-03-02,2907.0
2018-03-03,21633.0
2018-03-04,19276.0
2018-03-05,15142.0
2018-03-06,10012.0
2018-03-07,5442.0
2018-03-08,5937.0
2018-03-09,4966.0
2018-03-10,7833.0
2018-03-11,10998.0
2018-03-12,11136.0
2018-03-13,3118.0
2018-03-14,28982.0
2018-03-15,3392.0
2018-03-16,12521.0
2018-03-17,2366.0
2018-03-18,7508.0
2018-03-19,24377.0
2018-03-20,20214.0
2018-03-21,18633.0
2018-03-22,2903.0
2018-03-23,7603.0
2018-03-24,25555.0
2018-03-25,32145.0
2018-03-26,20463.0
2018-03-27,5675.0
2018-03-28,4883.0
2018-03-29,21494.0
2018-03-30,20858.0
2018-03-31,17636.0
2018-04-01,6490.0
2018-04-02,11580.0
2018-04-03,12794.0
2018-04-04,11684.0
2018-04-05,11062.0
2018-04-06,37854.0
2018-04-07,32653.0
2018-04-08,28092.0
2018-04-09,9376.0
2018-04-10,28684.0
2018-04-11,10710.0
2018-04-12,5101.0
2018-04-13,25983.0
2018-04-14,23579.0
2018-04-15,29780.0
2018-04-16,28184.0
2018-04-17,35672.0
2018-04-18,37216.0
2018-04-19,37956.0
2018-04-20,35599.0
2018-04-21,34170.0
2018-04-22,26087.0
2018-04-23,32243.0
2018-04-24,15132.0
2018-04-25,18387.0
2018-04-26,20389.0
2018-04-27,27538.0
2018-04-28,15174.0
2018-04-29,6310.0
2018-04-30,12121.0
2018-05-01,28202.0
2018-05-02,39380.0
2018-05-03,37984.0
2018-05-04,40139.0
2018-05-05,41108.0
2018-05-06,40071.0
2018-05-07,40508.0
2018-05-08,39524.0
2018-05-09,36630.0
2018-05-10,16121.0
2018-05-11,34148.0
2018-05-12,31939.0
2018-05-13,3484.0
2018-05-14,11564.0
2018-05-15,30530.0
2018-05-16,25694.0
2018-05-17,32048.0
2018-05-18,36484.0
2018-05-19,19833.0
2018-05-20,34134.0
2018-05-21,26123.0
2018-05-22,30703.0
2018-05-23,19105.0
2018-05-24,26710.0
2018-05-25,37294.0
2018-05-26,37405.0
2018-05-27,17773.0
2018-05-28,33874.0
2018-05-29,28218.0
2018-05-30,36489.0
2018-05-31,25070.0
2018-06-01,7417.0
2018-06-02,13781.0
2018-06-03,35972.0
2018-06-04,34568.0
2018-06-05,11249.0
2018-06-06,35585.0
2018-06-07,19086.0
2018-06-08,21900.0
2018-06-09,13851.0
2018-06-10,17723.0
2018-06-11,17871.0
2018-06-12,11636.0
2018-06-13,19169.0
2018-06-14,27094.0
2018-06-15,36905.0
2018-06-16,24850.0
2018-06-17,17879.0
2018-06-18,19306.0
2018-06-19,9864.0
2018-06-20,31481.0
2018-06-21,26695.0
2018-06-22,33983.0
2018-06-23,33852.0
2018-06-24,23813.0
2018-06-25,21176.0
2018-06-26,37036.0
2018-06-27,41856.0
2018-06-28,41571.0
2018-06-29,40048.0
2018-06-30,39958.0
2018-07-01,40383.0
2018-07-02,42157.0
2018-07-03,33016.0
2018-07-04,34736.0
2018-07-05,33624.0
2018-07-06,38415.0
2018-07-07,36939.0
2018-07-08,39048.0
2018-07-09,34181.0
2018-07-10,9944.0
2018-07-11,34222.0
2018-07-12,30656.0
2018-07-13,29006.0
2018-07-14,38759.0
2018-07-15,39995.0
2018-07-16,38333.0
2018-07-17,36652.0
2018-07-18,40103.0
2018-07-19,34694.0
2018-07-20,29228.0
2018-07-21,27620.0
2018-07-22,39017.0
2018-07-23,27678.0
2018-07-24,30130.0
2018-07-25,36497.0
2018-07-26,34745.0
2018-07-27,33977.0
2018-07-28,21589.0
2018-07-29,30501.0
2018-07-30,34168.0
2018-07-31,29711.0
2018-08-01,32839.0
2018-08-02,35081.0
2018-08-03,36580.0
2018-08-04,35110.0
2018-08-05,23649.0
2018-08-06,37571.0
2018-08-07,36755.0
2018-08-08,13583.0
2018-08-09,12115.0
2018-08-10,34630.0
2018-08-11,35442.0
2018-08-12,36396.0
2018-08-13,14580.0
2018-08-14,12913.0
2018-08-15,11433.0
2018-08-16,24590.0
2018-08-17,22098.0
2018-08-18,29381.0
2018-08-19,27238.0
2018-08-20,9955.0
2018-08-21,21301.0
2018-08-22,27531.0
2018-08-23,12906.0
2018-08-24,25485.0
2018-08-25,25832.0
2018-08-26,25002.0
2018-08-27,19676.0
2018-08-28,16346.0
2018-08-29,9987.0
2018-08-30,26182.0
2018-08-31,23256.0
2018-09-01,33152.0
2018-09-02,34962.0
2018-09-03,13968.0
2018-09-04,14259.0
2018-09-05,15272.0
2018-09-06,11947.0
2018-09-07,17656.0
2018-09-08,29102.0
2018-09-09,23934.0
2018-09-10,21581.0
2018-09-11,31735.0
2018-09-12,14060.0
2018-09-13,9088.0
2018-09-14,29377.0
2018-09-15,27229.0
2018-09-16,29823.0
2018-09-17,29548.0
2018-09-18,30512.0
2018-09-19,28368.0
2018-09-20,25274.0
2018-09-21,12539.0
2018-09-22,9631.0
2018-09-23,3386.0
2018-09-24,22510.0
2018-09-25,31324.0
2018-09-26,28573.0
2018-09-27,30731.0
2018-09-28,6279.0
2018-09-29,27982.0
2018-09-30,30224.0
2018-10-01,16546.0
2018-10-02,3770.0
2018-10-03,20986.0
2018-10-04,24344.0
2018-10-05,28092.0
2018-10-06,25759.0
2018-10-07,13542.0
2018-10-08,24689.0
2018-10-09,22068.0
2018-10-10,25266.0
2018-10-11,18047.0
2018-10-12,18380.0
2018-10-13,23396.0
2018-10-14,22790.0
2018-10-15,12555.0
2018-10-16,23440.0
2018-10-17,20896.0
2018-10-18,11618.0
2018-10-19,12273.0
2018-10-20,18356.0
2018-10-21,20459.0
2018-10-22,7534.0
2018-10-23,13909.0
2018-10-24,2879.0
2018-10-25,3270.0
2018-10-26,4221.0
2018-10-27,8553.0
2018-10-28,8575.0
2018-10-29,2002.0
2018-10-30,2186.0
2018-10-31,10966.0
2018-11-01,2753.0
2018-11-02,12505.0
2018-11-03,14557.0
2018-11-04,16897.0
2018-11-05,17283.0
2018-11-06,14298.0
2018-11-07,7392.0
2018-11-08,19051.0
2018-11-09,7357.0
2018-11-10,1254.0
2018-11-11,3846.0
2018-11-12,1582.0
2018-11-13,8923.0
2018-11-14,16895.0
2018-11-15,17556.0
2018-11-16,1876.0
2018-11-17,17711.0
2018-11-18,17312.0
2018-11-19,2901.0
2018-11-20,1781.0
2018-11-21,4921.0
2018-11-22,13588.0
2018-11-23,10496.0
2018-11-24,1601.0
2018-11-25,1506.0
2018-11-26,1329.0
2018-11-27,2261.0
2018-11-28,1322.0
2018-11-29,1935.0
2018-11-30,3859.0
2018-12-01,2188.0
2018-12-02,1533.0
2018-12-03,1231.0
2018-12-04,9528.0
2018-12-05,1933.0
2018-12-06,2000.0
2018-12-07,821.0
2018-12-08,4512.0
